sample_1656,0.907
sample_1548,0.919
sample_769,0.933
sample_1881,0.902
sample_1807,0.927
sample_145,0.927
sample_1212,0.935
sample_944,0.896
sample_829,0.934
sample_616,0.925
sample_1690,0.947
sample_114,0.945
sample_185,0.93
sample_1141,0.957
sample_1460,0.897
sample_1835,0.918
sample_1539,0.896
sample_598,0.935
sample_1800,0.977
sample_394,0.894
sample_1146,0.907
sample_149,0.976
sample_1750,0.939
sample_1977,0.934
sample_1830,0.978
sample_818,0.939
sample_881,0.898
sample_77,0.9
sample_1240,0.975
sample_309,0.895
sample_90,0.954
sample_1447,0.896
sample_1584,0.902
sample_23,0.893
sample_1188,0.937
sample_1461,0.898
sample_1691,0.904
sample_316,0.95
sample_299,0.9
sample_459,0.9
sample_462,0.898
sample_1730,0.971
sample_689,0.97
sample_1943,0.934
sample_1043,0.945
sample_919,0.901
sample_1104,0.91
sample_348,0.902
sample_123,0.896
sample_1645,0.899
sample_1522,0.892
sample_1874,0.913
sample_295,0.899
sample_954,0.898
sample_1529,0.9
sample_722,0.932
sample_1703,0.906
sample_1524,0.898
sample_125,0.94
sample_1922,0.942
sample_1186,0.938
sample_938,0.968
sample_1744,0.933
sample_936,0.937
sample_1973,0.929
sample_157,0.925
sample_1003,0.896
sample_1407,0.93
sample_1057,0.965
sample_1783,0.929
sample_48,0.924
sample_263,0.975
sample_678,0.928
sample_882,0.9
sample_1688,0.908
sample_1361,0.93
sample_1802,0.926
sample_250,0.935
sample_323,0.898
sample_1514,0.896
sample_1545,0.895
sample_830,0.933
sample_1757,0.977
sample_917,0.934
sample_1728,0.932
sample_352,0.91
sample_1229,0.977
sample_619,0.927
sample_1138,0.957
sample_687,0.927
sample_966,0.9
sample_537,0.897
sample_867,0.897
sample_928,0.967
sample_520,0.939
sample_1338,0.932
sample_988,0.9
sample_899,0.899
sample_15,0.922
sample_1412,0.931
sample_1915,0.945
sample_1885,0.939
sample_1893,0.905
sample_688,0.926
sample_1664,0.947
sample_1667,0.944
sample_1516,0.896
sample_437,0.899
sample_203,0.915
sample_1389,0.93
sample_761,0.973
sample_1373,0.931
sample_558,0.957
sample_1710,0.892
sample_153,0.929
sample_934,0.931
sample_54,0.896
sample_1227,0.931
sample_53,0.901
sample_1110,0.91
sample_49,0.897
sample_474,0.898
sample_1716,0.897
sample_1169,0.969
sample_1925,0.934
sample_667,0.928
sample_176,0.928
sample_1908,0.899
sample_160,0.931
sample_35,0.966
sample_1403,0.925
sample_1806,0.979
sample_241,0.937
sample_1059,0.941
sample_746,0.946
sample_513,0.935
sample_1088,0.935
sample_1370,0.932
sample_523,0.938
sample_319,0.896
sample_1923,0.976
sample_1296,0.944
sample_1152,0.906
sample_982,0.898
sample_304,0.9
sample_502,0.968
sample_1951,0.928
sample_386,0.965
sample_362,0.934
sample_522,0.929
